Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
21/08/2014,5,16.2625,11,21
22/08/2014,7,16.325,12,61
23/08/2014,4,15.9875,11,21
24/08/2014,3,16.3125,20,21
25/08/2014,5,14.7875,13,65
26/08/2014,3,17.325,7,
27/08/2014,1,19.875,9,
28/08/2014,0,19.75,9,0
29/08/2014,5,19.125,12,63
30/08/2014,7,17.75,9,61
31/08/2014,7,16.375,8,21
01/09/2014,7,17.875,12,61
02/09/2014,2,18.375,13,
03/09/2014,2,18.75,13,
04/09/2014,0,20,15,
05/09/2014,2,21.375,10,
06/09/2014,2,24,5,
07/09/2014,5,20,6,21
08/09/2014,4,17.375,12,21
09/09/2014,6,17.125,16,63
10/09/2014,2,18.625,12,
11/09/2014,4,17.375,13,
12/09/2014,1,18.25,11,
13/09/2014,7,17,12,
14/09/2014,7,17.625,14,61
15/09/2014,2,19.75,13,
16/09/2014,0,20.125,13,
17/09/2014,1,19.875,18,
18/09/2014,0,20.5,13,
19/09/2014,0,20.75,9,5
20/09/2014,3,19.375,7,10
21/09/2014,4,17,15,21
22/09/2014,6,13,17,21
23/09/2014,4,14.75,6,
24/09/2014,7,15.375,10,63
25/09/2014,7,14.5,17,61
26/09/2014,7,16.75,13,61
27/09/2014,2,16.375,14,
28/09/2014,4,18.5,7,
29/09/2014,6,18.125,6,
30/09/2014,7,16.5,5,61
01/10/2014,6,17.75,6,10
02/10/2014,6,18,6,
03/10/2014,3,20,6,10
04/10/2014,0,18.5,8,5
05/10/2014,1,16.25,7,
06/10/2014,2,15.75,15,10
07/10/2014,7,13,10,65
08/10/2014,6,14.125,10,61
09/10/2014,5,17.875,10,
10/10/2014,4,16.375,10,
11/10/2014,3,17,5,
12/10/2014,5,15.125,7,20
13/10/2014,7,12.625,12,63
14/10/2014,6,14,5,61
15/10/2014,7,13.875,6,21
16/10/2014,7,13.5,6,61
17/10/2014,7,14.375,10,65
18/10/2014,7,15.25,7,21
19/10/2014,7,17.375,13,95
20/10/2014,6,14.625,18,61
21/10/2014,7,12.5,9,63
22/10/2014,6,13,12,0
23/10/2014,6,13.125,7,0
24/10/2014,7,13.5,9,
25/10/2014,7,12.125,7,61
26/10/2014,5,12.75,9,0
27/10/2014,2,14.5,9,
28/10/2014,0,13.875,8,
29/10/2014,7,8.375,7,20
30/10/2014,2,10.625,5,10
31/10/2014,8,12.875,5,10
01/11/2014,2,16.5,8,0
02/11/2014,3,15.375,10,21
03/11/2014,4,13.75,12,0
04/11/2014,7,11.625,8,61
05/11/2014,7,9.5,11,61
06/11/2014,5,8.875,10,0
07/11/2014,0,8.625,9,10
08/11/2014,6,10.25,8,
09/11/2014,3,10.625,8,
10/11/2014,6,8.75,7,61
11/11/2014,2,8.625,7,10
12/11/2014,7,9.75,10,10
13/11/2014,7,10.75,4,28
14/11/2014,7,10.75,10,10
15/11/2014,8,9.25,14,10
16/11/2014,7,8,14,61
17/11/2014,7,9.625,7,10
18/11/2014,7,8.875,13,61
19/11/2014,7,8.5,11,61
20/11/2014,5,6.125,7,0
21/11/2014,6,6.5,5,61
22/11/2014,7,5.75,9,61
23/11/2014,6,6.75,7,21
24/11/2014,3,9.375,10,0
25/11/2014,0,6.875,4,0
26/11/2014,3,5.625,8,
27/11/2014,0,4.5,10,10
28/11/2014,6,1.625,16,10
29/11/2014,8,1,10,5
30/11/2014,8,0,11,10
01/12/2014,7,-2,13,10
02/12/2014,8,-3,7,10
03/12/2014,7,0.625,10,10
04/12/2014,8,3.75,9,61
05/12/2014,7,2,7,61
06/12/2014,2,5.75,7,10
07/12/2014,7,4.875,12,61
08/12/2014,7,3.25,8,61
09/12/2014,8,2.125,9,45
10/12/2014,5,4.875,13,61
11/12/2014,7,4,12,95
12/12/2014,7,7.25,18,61
13/12/2014,5,4.75,10,61
14/12/2014,4,3.5,9,10
15/12/2014,7,4.75,11,61
16/12/2014,8,4.625,12,61
17/12/2014,7,3.625,10,61
18/12/2014,7,10,11,61
19/12/2014,5,8.125,15,61
20/12/2014,6,5.375,24,21
21/12/2014,6,6.625,14,21
22/12/2014,7,9.75,21,63
23/12/2014,7,9.125,19,61
24/12/2014,5,7.75,21,61
25/12/2014,7,3.125,17,71
26/12/2014,6,0,6,22
27/12/2014,3,-0.25,8,
28/12/2014,1,-0.5,7,0
29/12/2014,5,0.75,10,0
30/12/2014,7,5.25,9,21
31/12/2014,6,7.375,11,61
01/01/2015,8,4.125,13,10
02/01/2015,6,7.75,24,61
03/01/2015,7,4.875,25,69
04/01/2015,0,4.75,15,
05/01/2015,8,5.875,8,20
06/01/2015,8,3.625,8,10
07/01/2015,6,5.75,10,61
08/01/2015,8,6.375,9,61
09/01/2015,6,7.5,25,63
10/01/2015,6,10,28,61
11/01/2015,5,4.25,23,61
12/01/2015,7,7.5,19,61
13/01/2015,7,7.75,14,61
14/01/2015,6,3.125,16,71
15/01/2015,7,6.75,14,61
16/01/2015,6,6.75,13,0
17/01/2015,1,4.25,12,21
18/01/2015,8,2,9,61
19/01/2015,7,1,5,71
20/01/2015,7,-0.375,4,77
21/01/2015,8,-1.125,4,10
22/01/2015,7,-1.375,3,49
23/01/2015,8,-1.25,5,20
24/01/2015,7,-0.5,10,71
25/01/2015,6,2.875,6,
26/01/2015,7,3.375,10,61
27/01/2015,2,4.875,13,
28/01/2015,7,4.875,17,61
29/01/2015,7,1.5,12,75
30/01/2015,7,1.125,6,
31/01/2015,7,-2.375,7,49
01/02/2015,7,-0.25,9,75
02/02/2015,6,1,10,22
03/02/2015,7,-1,10,77
04/02/2015,6,-1.875,9,0
05/02/2015,5,0.75,10,22
06/02/2015,2,-0.5,6,22
07/02/2015,7,4.125,18,20
08/02/2015,1,3.375,14,
09/02/2015,7,6.875,13,61
10/02/2015,7,7.625,11,
11/02/2015,8,4,5,
12/02/2015,8,2,4,10
13/02/2015,8,1.25,6,10
14/02/2015,7,1.625,9,28
15/02/2015,7,3.125,16,10
16/02/2015,8,2,9,10
17/02/2015,6,1.125,7,45
18/02/2015,3,5.5,12,10
19/02/2015,0,6.25,13,5
20/02/2015,8,3.875,11,71
21/02/2015,7,3.875,16,61
22/02/2015,5,5.25,13,0
23/02/2015,7,4.5,12,61
24/02/2015,7,5.625,12,61
25/02/2015,5,5.875,10,
26/02/2015,5,6.625,10,0
27/02/2015,7,4.5,9,61
28/02/2015,3,5.625,10,0
01/03/2015,7,6.75,15,61
02/03/2015,6,5.125,23,61
03/03/2015,6,5,14,61
04/03/2015,6,5,18,61
05/03/2015,7,6.625,14,
06/03/2015,7,8.125,12,20
07/03/2015,7,10.125,13,0
08/03/2015,0,14,12,
09/03/2015,4,8.375,6,
10/03/2015,3,9.5,13,10
11/03/2015,0,9.125,12,
12/03/2015,0,7.125,10,0
13/03/2015,6,4.875,15,
14/03/2015,7,5.125,15,
15/03/2015,7,5.75,13,21
16/03/2015,2,8.625,13,10
17/03/2015,1,10.75,11,5
18/03/2015,4,10.625,8,
19/03/2015,0,10.375,9,0
20/03/2015,7,5,9,45
21/03/2015,7,4.5,21,61
22/03/2015,0,4.375,8,
23/03/2015,0,7.75,12,
24/03/2015,6,7.875,6,0
25/03/2015,6,7.875,14,5
26/03/2015,7,7.125,9,0
27/03/2015,7,7,7,61
28/03/2015,7,8.5,10,
29/03/2015,7,8.25,12,61
30/03/2015,6,6.5,29,61
31/03/2015,7,6.375,35,61
01/04/2015,4,5,24,22
02/04/2015,6,6.5,19,61
03/04/2015,5,7.375,14,
04/04/2015,0,8.375,11,
05/04/2015,3,8.625,11,
06/04/2015,0,7.75,10,
07/04/2015,7,7.75,14,61
08/04/2015,2,12,11,
09/04/2015,2,11.875,7,0
10/04/2015,1,14.125,8,5
11/04/2015,2,16.75,14,61
12/04/2015,5,12.375,16,
13/04/2015,4,8.875,21,61
14/04/2015,7,10.75,17,61
15/04/2015,0,15.5,19,5
16/04/2015,6,9.375,16,21
17/04/2015,0,10.5,15,
18/04/2015,0,10.875,8,
19/04/2015,0,10.125,11,
20/04/2015,0,14.25,9,
21/04/2015,0,14.625,17,5
22/04/2015,0,12.125,7,
23/04/2015,1,13.625,12,
24/04/2015,2,13.875,9,20
25/04/2015,7,13.75,8,63
26/04/2015,8,7,11,61
27/04/2015,4,10.125,11,
28/04/2015,3,10.25,13,
29/04/2015,5,12.625,12,
30/04/2015,6,11.375,10,61
01/05/2015,6,10,6,21
02/05/2015,3,11,12,0
03/05/2015,1,14.75,12,61
04/05/2015,5,15.875,13,21
05/05/2015,4,20,15,95
06/05/2015,3,17.125,11,21
07/05/2015,6,12,16,21
08/05/2015,2,11.5,11,
09/05/2015,7,13.5,14,61
10/05/2015,2,12.75,18,0
11/05/2015,0,19.75,11,
12/05/2015,7,14.625,14,63
13/05/2015,7,11.875,16,21
14/05/2015,7,11.25,10,20
15/05/2015,6,13.5,9,
16/05/2015,7,10.5,11,61
17/05/2015,3,12.625,17,21
18/05/2015,6,11.625,8,61
19/05/2015,6,10.125,11,63
20/05/2015,5,12.25,9,63
21/05/2015,6,12.625,10,61
22/05/2015,4,17,12,
23/05/2015,5,13.375,8,0
24/05/2015,2,14.375,8,
25/05/2015,7,11.75,10,61
26/05/2015,6,13,14,21
27/05/2015,7,12.625,13,61
28/05/2015,6,13.125,12,63
29/05/2015,6,14.625,8,61
30/05/2015,4,11.625,15,61
31/05/2015,7,14.5,10,61
01/06/2015,5,14.25,16,
02/06/2015,7,14.25,14,61
03/06/2015,6,15.25,18,21
04/06/2015,0,16.375,9,0
05/06/2015,0,22.625,9,
06/06/2015,3,18.5,19,10
07/06/2015,4,16.625,15,
08/06/2015,6,14.375,12,
09/06/2015,3,15.25,8,
10/06/2015,0,18,7,
11/06/2015,1,16,10,
12/06/2015,0,20.25,10,
13/06/2015,6,21.875,12,61
14/06/2015,7,14.375,12,
15/06/2015,8,13.625,11,21
16/06/2015,7,13.625,14,
17/06/2015,7,16.5,9,61
18/06/2015,7,13.25,13,61
19/06/2015,7,14.25,14,61
20/06/2015,5,17.125,13,
21/06/2015,6,15.75,6,
22/06/2015,5,13.5,8,61
23/06/2015,5,16.5,10,21
24/06/2015,8,12.625,14,61
25/06/2015,6,17.125,8,21
26/06/2015,7,19.25,5,61
27/06/2015,7,19.375,16,61
28/06/2015,2,19.875,10,
29/06/2015,3,21.5,12,
30/06/2015,3,20.25,9,
01/07/2015,0,23.125,13,
02/07/2015,0,27.375,12,
03/07/2015,1,25.625,10,
04/07/2015,0,26.5,10,
05/07/2015,4,25.25,9,21
06/07/2015,3,19.875,16,
07/07/2015,4,24.75,9,61
08/07/2015,6,16.625,16,63
09/07/2015,6,14.375,24,61
10/07/2015,3,16.125,18,21
11/07/2015,6,17.75,9,21
12/07/2015,7,19.25,12,61
13/07/2015,6,19.375,11,
14/07/2015,3,19.625,9,0
15/07/2015,3,20.125,14,
16/07/2015,4,18.75,7,
17/07/2015,4,23.25,12,21
18/07/2015,2,20.875,16,
19/07/2015,7,14.5,5,63
20/07/2015,6,18.375,12,20
21/07/2015,3,21.375,16,0
22/07/2015,2,23.75,12,0
23/07/2015,5,18.375,12,61
24/07/2015,7,19.375,10,
25/07/2015,6,20,10,95
26/07/2015,5,16.75,19,61
27/07/2015,7,15.875,8,61
28/07/2015,7,17.375,15,63
29/07/2015,5,14.875,12,61
30/07/2015,7,14,16,61
31/07/2015,7,15.875,15,
01/08/2015,0,17.625,12,
02/08/2015,0,21.5,8,
03/08/2015,0,26,7,
04/08/2015,2,26.5,15,61
05/08/2015,2,21.75,8,21
06/08/2015,1,27.625,6,
07/08/2015,4,20,9,63
08/08/2015,6,19.125,10,
09/08/2015,0,21,10,
10/08/2015,3,22.5,8,21
11/08/2015,4,22.125,7,
12/08/2015,5,19.125,9,21
13/08/2015,0,20.75,13,0
14/08/2015,4,24,14,
15/08/2015,7,20.875,8,61
16/08/2015,6,21.5,10,0
17/08/2015,7,19.375,14,61
18/08/2015,7,19.25,13,21
19/08/2015,3,19.625,8,5
20/08/2015,1,20.375,8,10
21/08/2015,1,22.875,7,0
22/08/2015,0,23.5,12,
23/08/2015,0,21.625,18,0
24/08/2015,6,20.75,8,
25/08/2015,6,17.75,12,21
26/08/2015,5,22.125,9,
27/08/2015,6,18.125,12,61
28/08/2015,2,19.625,11,20
29/08/2015,4,20.125,6,
30/08/2015,5,19.375,10,21
31/08/2015,3,21.875,8,65
01/09/2015,8,17.625,12,61
02/09/2015,5,17,13,21
03/09/2015,3,17.75,8,
04/09/2015,7,15.625,10,61
05/09/2015,5,14.125,20,61
06/09/2015,5,17,18,
07/09/2015,0,17.25,12,
08/09/2015,2,17.5,9,0
09/09/2015,1,16.875,10,
10/09/2015,1,17.625,14,
11/09/2015,7,15,12,61
12/09/2015,5,18.5,8,
13/09/2015,6,18.5,5,20
14/09/2015,7,17.625,6,63
15/09/2015,4,13.875,10,95
16/09/2015,7,15.25,6,61
17/09/2015,6,18,12,61
18/09/2015,5,17.25,10,0
19/09/2015,7,15.25,7,61
20/09/2015,3,15.625,15,21
21/09/2015,7,13.375,6,61
22/09/2015,7,14.25,7,61
23/09/2015,7,14,5,20
24/09/2015,3,16,11,0
25/09/2015,4,14.875,8,61
26/09/2015,4,15.25,7,21
27/09/2015,1,15.25,8,
28/09/2015,2,14.625,7,0
29/09/2015,2,15.625,9,0
30/09/2015,0,15.375,6,0
01/10/2015,1,14.75,9,0
02/10/2015,2,15.375,7,10
03/10/2015,2,14.375,9,0
04/10/2015,6,15.625,7,45
05/10/2015,0,16.5,5,10
06/10/2015,7,14.875,14,10
07/10/2015,8,13,7,63
08/10/2015,7,11.875,5,10
09/10/2015,7,11.125,7,21
10/10/2015,1,9.75,14,0
11/10/2015,0,10.25,13,5
12/10/2015,0,8.625,12,5
13/10/2015,7,7.75,10,61
14/10/2015,7,9,11,61
15/10/2015,7,10.375,16,61
16/10/2015,7,10,14,61
17/10/2015,7,10.75,9,61
18/10/2015,8,11.125,10,61
19/10/2015,6,9.25,7,0
20/10/2015,7,10.25,8,20
21/10/2015,7,11.25,7,
22/10/2015,7,12.25,10,61
23/10/2015,1,13.375,15,
24/10/2015,8,12.375,6,
25/10/2015,2,12.25,15,
26/10/2015,0,11.375,6,0
27/10/2015,0,10.75,10,
28/10/2015,1,11.25,10,5
29/10/2015,2,10.5,4,10
30/10/2015,7,11.375,5,10
31/10/2015,1,11.75,9,10
01/11/2015,4,10.75,6,10
02/11/2015,8,9.75,5,10
03/11/2015,7,5.125,4,45
04/11/2015,1,8,4,10
05/11/2015,6,13.375,5,61
06/11/2015,8,13.75,6,61
07/11/2015,7,14.625,9,61
08/11/2015,1,13,12,
09/11/2015,5,12,15,21
10/11/2015,7,15,18,61
11/11/2015,8,13.625,12,61
12/11/2015,2,13.125,17,0
13/11/2015,4,11.75,19,21
14/11/2015,4,8.125,14,21
15/11/2015,7,8.5,4,61
16/11/2015,7,12.25,12,53
17/11/2015,7,10.75,8,21
18/11/2015,6,10.75,19,21
19/11/2015,7,10.125,20,61
20/11/2015,7,7.75,9,61
21/11/2015,7,4.5,15,63
22/11/2015,7,2.25,18,73
23/11/2015,4,3.125,8,
24/11/2015,7,3.125,14,61
25/11/2015,7,5.125,7,61
26/11/2015,0,5.5,7,
27/11/2015,7,5.25,11,
28/11/2015,2,6.125,11,61
29/11/2015,7,8.25,15,63
30/11/2015,5,5.75,18,61
01/12/2015,6,6.75,10,21
02/12/2015,7,10.5,9,21
03/12/2015,8,9.125,8,61
04/12/2015,6,9.25,17,61
05/12/2015,6,9,14,61
06/12/2015,7,10.875,19,20
07/12/2015,6,8.25,3,
08/12/2015,0,10.75,8,0
09/12/2015,3,8.75,12,21
10/12/2015,7,6.625,13,21
11/12/2015,5,6.125,11,63
12/12/2015,3,6.875,10,61
13/12/2015,1,5.25,9,
14/12/2015,7,3.625,6,21
15/12/2015,7,5.5,8,61
16/12/2015,8,6.25,7,10
17/12/2015,7,11.875,9,53
18/12/2015,8,10.375,15,61
19/12/2015,6,11.375,10,0
20/12/2015,5,12.5,9,
21/12/2015,7,10.25,14,21
22/12/2015,7,11.25,17,61
23/12/2015,6,10.375,20,61
24/12/2015,3,8.375,11,61
25/12/2015,2,7.875,14,0
26/12/2015,7,12.75,18,63
27/12/2015,7,10.875,15,61
28/12/2015,8,4.75,11,
29/12/2015,7,5.125,11,
30/12/2015,8,5.25,9,0
31/12/2015,7,2,10,61
01/01/2016,7,4.5,6,28
02/01/2016,8,0,16,10
03/01/2016,7,-5.5,13,0
04/01/2016,5,-6,15,10
05/01/2016,1,-3.625,14,5
06/01/2016,0,-3,12,5
07/01/2016,7,-4,13,22
08/01/2016,7,1.75,20,61
09/01/2016,4,2.875,6,21
10/01/2016,7,2.125,8,63
11/01/2016,7,2.5,6,45
12/01/2016,7,4,8,63
13/01/2016,8,1.875,14,61
14/01/2016,6,1.75,6,10
15/01/2016,7,2.125,12,10
16/01/2016,7,0.5,5,10
17/01/2016,3,-1.375,9,
18/01/2016,6,-1.75,6,10
19/01/2016,7,-2.5,10,73
20/01/2016,7,-1.625,8,28
21/01/2016,4,-4.875,5,20
22/01/2016,1,-3,7,10
23/01/2016,6,3.125,6,49
24/01/2016,7,5.125,7,10
25/01/2016,8,9,9,45
26/01/2016,7,7.875,9,
27/01/2016,7,10.375,15,61
28/01/2016,5,6.75,16,21
29/01/2016,7,8.125,17,61
30/01/2016,7,6.625,17,65
31/01/2016,6,4.125,13,61
01/02/2016,7,7.875,21,61
02/02/2016,6,7.5,20,61
03/02/2016,6,4.75,15,61
04/02/2016,5,4.25,12,22
05/02/2016,7,4.5,10,61
06/02/2016,7,9.375,11,21
07/02/2016,6,9.75,12,21
08/02/2016,7,8.5,16,63
09/02/2016,5,6.75,15,61
10/02/2016,7,3.75,9,61
11/02/2016,7,5.25,7,61
12/02/2016,7,3.5,6,61
13/02/2016,6,2,8,20
14/02/2016,8,2.875,20,61
15/02/2016,8,0.75,14,
16/02/2016,0,2.125,5,
17/02/2016,1,1.75,10,0
18/02/2016,5,1.875,6,10
19/02/2016,7,3.25,6,61
20/02/2016,7,6,12,61
21/02/2016,7,6.875,12,61
22/02/2016,6,5.875,15,61
23/02/2016,4,6.125,17,61
24/02/2016,3,4,15,61
25/02/2016,6,3.5,10,53
26/02/2016,6,3.625,8,
27/02/2016,4,1.5,5,45
28/02/2016,1,3.5,6,0
29/02/2016,7,2.125,10,0
01/03/2016,5,2.25,8,
02/03/2016,7,5,16,63
03/03/2016,7,4.75,5,21
04/03/2016,2,3.875,9,10
05/03/2016,8,3.25,5,61
06/03/2016,7,4.5,11,10
07/03/2016,6,4.75,10,20
08/03/2016,6,5,10,61
09/03/2016,0,6.75,9,5
10/03/2016,8,4.375,11,10
11/03/2016,8,3.5,11,
12/03/2016,8,2.75,7,0
13/03/2016,8,0.875,8,10
14/03/2016,8,5,8,10
15/03/2016,5,5.75,12,61
16/03/2016,1,6.375,11,0
17/03/2016,0,9.25,12,0
18/03/2016,8,5.375,9,21
19/03/2016,7,6,15,45
20/03/2016,6,8.625,15,61
21/03/2016,7,7.5,19,61
22/03/2016,7,8.125,13,61
23/03/2016,1,9.125,13,
24/03/2016,7,7.375,10,21
25/03/2016,8,7.875,7,61
26/03/2016,1,9.75,9,0
27/03/2016,7,8.625,12,61
28/03/2016,6,11.625,18,61
29/03/2016,6,10,13,21
30/03/2016,5,8.5,15,61
31/03/2016,4,9,13,21
01/04/2016,0,9.125,7,
02/04/2016,3,12.75,8,
03/04/2016,7,15.5,5,21
04/04/2016,6,17.375,6,21
05/04/2016,7,10,7,61
06/04/2016,6,11.125,12,61
07/04/2016,6,8.625,13,21
08/04/2016,6,9,9,63
09/04/2016,4,10.125,11,0
10/04/2016,7,10.875,13,
11/04/2016,1,10,15,5
12/04/2016,6,8,9,61
13/04/2016,5,9.75,11,10
14/04/2016,6,10,8,0
15/04/2016,7,10.625,8,61
16/04/2016,6,12.75,15,53
17/04/2016,4,9.875,19,21
18/04/2016,7,9.625,16,21
19/04/2016,5,9.5,23,21
20/04/2016,2,10.5,17,
21/04/2016,2,11.625,16,
22/04/2016,5,10.5,12,
23/04/2016,3,8.875,17,21
24/04/2016,4,5.75,10,21
25/04/2016,8,4.625,10,61
26/04/2016,7,2.5,7,75
27/04/2016,7,4.875,8,61
28/04/2016,6,7.5,16,61
29/04/2016,6,9.75,13,61
30/04/2016,8,8,7,61
01/05/2016,0,10.75,9,
02/05/2016,1,17.875,6,
03/05/2016,6,11.375,15,61
04/05/2016,1,12.375,10,
05/05/2016,0,15.125,13,
06/05/2016,0,19,14,
07/05/2016,0,22.125,12,
08/05/2016,0,21.375,17,
09/05/2016,0,19.875,12,
10/05/2016,0,20.875,14,
11/05/2016,0,20.625,15,
12/05/2016,0,15.625,17,0
13/05/2016,2,17.5,16,65
14/05/2016,7,10,14,21
15/05/2016,6,9.75,12,61
16/05/2016,5,11.25,16,
17/05/2016,7,10.75,15,21
18/05/2016,5,16.75,7,
19/05/2016,2,19.5,10,0
20/05/2016,8,14.75,11,61
21/05/2016,6,19.375,9,21
22/05/2016,1,25,9,
23/05/2016,7,15.5,8,21
24/05/2016,8,14.25,10,21
25/05/2016,7,16.5,6,20
26/05/2016,7,14.375,6,61
27/05/2016,4,15.875,9,61
28/05/2016,2,18.625,11,
29/05/2016,6,17,13,21
30/05/2016,4,20.25,17,0
31/05/2016,1,20.625,13,0
01/06/2016,4,21.75,16,0
02/06/2016,1,21.5,13,
03/06/2016,0,21.875,10,
04/06/2016,0,24.5,7,
05/06/2016,0,25.25,9,
06/06/2016,1,22.875,15,
07/06/2016,1,25.375,8,
08/06/2016,4,18.875,13,
09/06/2016,1,19.5,16,
10/06/2016,3,18.125,13,
11/06/2016,0,17.375,12,
12/06/2016,7,13.875,7,61
13/06/2016,7,15.25,11,63
14/06/2016,7,16.5,8,61
15/06/2016,6,18.25,8,95
16/06/2016,6,18.25,7,63
17/06/2016,6,18.125,10,21
18/06/2016,6,18,12,21
19/06/2016,7,16,14,
20/06/2016,4,20.875,10,61
21/06/2016,4,19.875,9,
22/06/2016,5,22.125,9,61
23/06/2016,5,27.875,8,
24/06/2016,5,24.125,9,
25/06/2016,7,18.25,14,95
26/06/2016,5,19.25,11,0
27/06/2016,7,19.375,10,61
28/06/2016,4,18.375,11,21
29/06/2016,5,18.75,9,21
30/06/2016,7,18.25,9,61
01/07/2016,8,19.25,7,63
02/07/2016,7,15.625,12,61
03/07/2016,4,17.125,12,61
04/07/2016,6,17.25,10,61
05/07/2016,7,17.125,10,95
06/07/2016,5,16.5,22,21
07/07/2016,6,18.25,11,21
08/07/2016,6,19.125,8,63
09/07/2016,5,19.125,12,
10/07/2016,6,24.125,8,
11/07/2016,6,20,13,21
12/07/2016,4,19.125,14,95
13/07/2016,6,16.375,6,63
14/07/2016,7,16.375,12,53
15/07/2016,7,17,16,61
16/07/2016,7,18,10,61
17/07/2016,7,17.25,9,61
18/07/2016,7,18.5,15,21
19/07/2016,6,22.375,12,20
20/07/2016,0,26,9,
21/07/2016,3,25.875,8,
22/07/2016,3,26,6,21
23/07/2016,3,25.375,9,
24/07/2016,0,25.25,10,
25/07/2016,4,25.375,7,95
26/07/2016,3,21.875,9,20
27/07/2016,4,21.375,6,
28/07/2016,4,21.25,7,20
29/07/2016,6,21,10,65
30/07/2016,4,19.625,10,65
31/07/2016,7,17.375,6,61
01/08/2016,3,18.5,14,61
02/08/2016,4,19.75,7,20
03/08/2016,7,19.375,9,61
04/08/2016,6,20.375,11,61
05/08/2016,4,20.5,15,21
06/08/2016,5,17.5,14,95
07/08/2016,6,21.125,13,21
08/08/2016,5,19,18,21
09/08/2016,5,15.375,18,21
10/08/2016,4,14.5,15,95
11/08/2016,7,13.875,9,61
12/08/2016,7,18.25,12,61
13/08/2016,7,18.125,12,61
14/08/2016,6,18.125,12,21
15/08/2016,5,18.625,11,
16/08/2016,2,19.375,10,
17/08/2016,0,19.571428,8,
18/08/2016,3,18.25,9,
19/08/2016,3,20.375,8,
20/08/2016,7,20.25,9,61
21/08/2016,4,19.875,9,21
22/08/2016,7,18.375,10,65
23/08/2016,6,21.75,8,
24/08/2016,0,25.375,6,
25/08/2016,0,28.375,6,
26/08/2016,0,27.75,13,
27/08/2016,0,20.375,8,
28/08/2016,4,21.875,12,63
29/08/2016,3,18.5,15,21
30/08/2016,2,20.25,12,
31/08/2016,0,23.125,6,
01/09/2016,5,20.25,13,21
02/09/2016,4,19.125,8,61
03/09/2016,5,19.25,12,21
04/09/2016,6,19.25,8,61
05/09/2016,0,19.125,12,0
06/09/2016,2,21.75,6,
07/09/2016,0,23.625,6,
08/09/2016,0,25.625,7,
09/09/2016,2,21.375,10,0
10/09/2016,0,23.875,6,
11/09/2016,6,20.875,10,
12/09/2016,0,25.375,8,
13/09/2016,0,27.875,8,
14/09/2016,0,25.25,9,
15/09/2016,0,23.75,13,
16/09/2016,4,22.75,8,0
17/09/2016,5,18.875,14,
18/09/2016,7,16.75,15,21
19/09/2016,7,17,9,
20/09/2016,5,17.5,8,
21/09/2016,3,18.375,10,
22/09/2016,4,18.5,6,
23/09/2016,4,18.625,12,21
24/09/2016,0,18.625,6,
25/09/2016,0,21.375,8,
26/09/2016,4,18.25,6,0
27/09/2016,0,19.875,6,0
28/09/2016,6,19.125,19,
29/09/2016,7,17.375,13,61
30/09/2016,6,14,11,61
01/10/2016,3,15.875,6,
02/10/2016,3,15.75,7,21
03/10/2016,7,14.375,18,61
04/10/2016,5,13.25,16,
05/10/2016,3,12,19,
06/10/2016,7,11.25,17,20
07/10/2016,7,11.125,15,0
08/10/2016,5,11.625,16,
09/10/2016,7,9.125,10,61
10/10/2016,7,11.125,10,61
11/10/2016,7,9.875,20,61
12/10/2016,7,9.75,18,63
13/10/2016,6,10.875,15,0
14/10/2016,7,9.125,13,61
15/10/2016,8,8.625,12,61
16/10/2016,8,11.375,6,10
17/10/2016,8,9.75,6,10
18/10/2016,7,13.25,6,28
19/10/2016,8,7.625,4,61
20/10/2016,7,10.125,10,21
21/10/2016,6,9.875,10,61
22/10/2016,8,8.125,12,61
23/10/2016,7,8.625,4,21
24/10/2016,5,9.25,8,10
25/10/2016,5,9,8,0
26/10/2016,6,7.375,6,10
27/10/2016,7,13.375,9,21
28/10/2016,6,12.75,15,21
29/10/2016,4,11.375,16,20
30/10/2016,4,11,9,5
31/10/2016,7,12.125,6,61
01/11/2016,6,10.125,12,61
02/11/2016,4,7.25,13,21
03/11/2016,4,5.875,5,
04/11/2016,7,7.875,8,61
05/11/2016,7,5.5,5,61
06/11/2016,7,6.625,6,61
07/11/2016,7,3.5,14,61
08/11/2016,7,0.75,14,71
09/11/2016,0,1.25,4,10
10/11/2016,7,4,8,22
11/11/2016,4,4.875,10,21
12/11/2016,3,1.625,6,49
13/11/2016,4,1.375,9,5
14/11/2016,4,2,10,5
15/11/2016,7,7.75,9,61
16/11/2016,7,8.75,11,61
17/11/2016,6,7.75,9,21
18/11/2016,4,7.25,13,21
19/11/2016,6,6.625,11,21
20/11/2016,6,6.375,12,63
21/11/2016,7,11.5,6,61
22/11/2016,7,12.125,7,
23/11/2016,7,10,5,10
24/11/2016,0,4.5,8,10
25/11/2016,7,4,4,45
26/11/2016,7,5.875,10,61
27/11/2016,0,5.625,9,5
28/11/2016,1,2.875,11,
29/11/2016,3,3,9,10
30/11/2016,7,6.25,12,61
01/12/2016,8,8.5,19,61
02/12/2016,0,3.625,8,0
03/12/2016,4,-0.75,6,49
04/12/2016,8,4.125,6,
05/12/2016,7,3,7,
06/12/2016,7,6.25,5,61
07/12/2016,7,4.5,10,61
08/12/2016,8,8.625,12,10
09/12/2016,7,8.875,13,20
10/12/2016,7,9.5,10,61
12/12/2016,7,4.875,4,61
13/12/2016,7,6.285714,5,10
